11,ʻaʻā,ʻaʻā,"1. To burn, blaze, glow; fire; staring, as eyes (see ʻaʻā maka). Fig., angry; fury.

2. ʻAʻā lava; stony, abounding with ʻaʻa lava.

3. Sirius, a zenith star that passes over Tahiti and Raʻi-ātea, formerly believed used by navigators; one of the brightest stars in the heavens. See Sirius for var. names.

4. Young stage of damselfish (ʻāloʻiloʻi). Also ʻā.",1
12,ʻāʻā,ʻāʻā,"1. Dumbness, inability to speak intelligibly, a dumb person (Puk. 4.11); dumb, silent, still; to stutter and stammer, as a dumb person.

2. Dwarf, small person; dwarfish, small.

3. Demented, panic-stricken. See ʻaʻā maka, ʻaʻaia.

4. Probable var. of ʻā 4, booby bird.

5. Male ʻōʻō bird.kaa.)",1
13,aʻaʻa,aʻaʻa,Network of veins.,1
14,ʻaʻaʻa,ʻaʻaʻa,"Clothlike sheath at base of coconut frond; vascular bundles in taro corm, chaff, tissue; fibrous, stringy. Also hāʻaʻa.",1
15,ʻaʻaʻā,ʻaʻaʻā,"1. Redup. of ʻaʻā 1; lava cave.

2. Redup. of ʻāʻā 1.",1
16,ʻaʻaʻaʻa,ʻaʻaʻaʻa,Redup. of ʻaʻaʻa.,1
17,aʻaahi,aʻaahi,Scion or shoot of sandalwood.,1
18,ʻaʻaahi,ʻaʻaahi,"Bag for carrying fire-making equipment (ʻaʻa, bag, and ahi, fire).",1
19,ʻaʻaʻaki,ʻaʻaʻaki,Redup. of ʻaʻaki.,1
20,ʻaʻae,ʻaʻae,"Second or third crop, as of taro; taro patch where the taro has been pulled up. Also ʻae.",1
21,ʻaʻaea,ʻaʻaea,The sound ay that infants make in calling for attention; to make this sound.,1
22,ʻaʻaha,ʻaʻaha,"Netted carrier for a calabash, made of sennit or olonā cord. More commonly called kōkō. Cf. ʻaha, sennit.",1
23,ʻaʻahi,ʻaʻahi,"Same as ʻiliahi, sandalwood. (And.)",1
24,ʻāahi,ʻāahi,Burning fire.,1
25,aʻahia,aʻahia,Pas/imp. of aʻa 2.,1
26,ʻaʻaho,ʻaʻaho,"1. Thatch purlin; rails, as in a fence. See ʻahohui, ʻahopiʻo, ʻahopueo.

2. Container, as for pia, arrowroot starch; to put pia in small packages so that it may keep sweet. Rare.",1
27,ʻaʻahokau,ʻaʻahokau,"Same as haupia, coconut and arrowroot pudding.",1
28,ʻaʻahu,ʻaʻahu,"Clothing in general, garment, array, attire, costume, mantle, gown; to put on or wear clothing, especially shirt, suit, or coat; to cover or wrap, as the body with a blanket.",1
29,ʻaʻahua,ʻaʻahua,Pas/imp. of ʻaʻahu.,1
30,ʻaʻahuā,ʻaʻahuā,"To speak reproachfully, contemptuously, deride, jeer; jealous challenge.",1
31,ʻaʻahuwā,ʻaʻahuwā,See ʻaʻahuā,1
32,ʻaʻahu aliʻi,ʻaʻahu aliʻi,"Regal attire, a royal robe, a type of colored tapa worn by people of rank.",1
33,ʻĀʻahualiʻi,ʻĀʻahualiʻi,"A fabulous being said to have had extraordinary strength, to have come from the center of the earth, and to have been the creator of all dwarfs. Cf. haʻakualiki.",1
34,ʻaʻahu a poʻo,ʻaʻahu a poʻo,"Head shield; protection for the head in war, as helmet, shield. (Epeso 6.16.)",1
35,aʻahuʻi,aʻahuʻi,"Aching veins, varicose veins.",1
36,ʻaʻahu kaua,ʻaʻahu kaua,"Armor, war garment.",1
37,ʻaʻahuki,ʻaʻahuki,"Tendon. Lit., pulled vein. See ex., wikani.",1
38,ʻaʻahu makaloa,ʻaʻahu makaloa,A long malo or ornamented band made of the soft makaloa rush; to put on or wear this garment.,1
39,ʻaʻahu ʻoihana piha,ʻaʻahu ʻoihana piha,"Full regalia, dress uniform. Lit., full professional garment.",1
40,ʻaʻahu pāwehe,ʻaʻahu pāwehe,"Garment made of pāwehe, patterned mat; mat made of soft material and woven in the pāwehe pattern; to put on and wear this garment.",1
41,ʻaʻahu ʻula,ʻaʻahu ʻula,Var. of ʻahu ʻula.,1
42,ʻaʻahuwā,ʻaʻahuwā,Var. spelling of ʻaʻahuā.,1
43,ʻaʻai,ʻaʻai,"1. Redup. of ʻai 1; eating, spreading, festering, increasing, as a sore; ulcerous, cancerous, malignant; to eat away, corrode; to take bait readily, as fish; erosion. See ʻaʻaiole.

2. Bright, vivid, as of contrasting colors.

3. Same as ʻaʻei, a net.",1
44,ʻaʻaia,ʻaʻaia,Demented.,1
45,ʻā ʻaia,ʻā ʻaia,"Legendary bird believed to have taken the shape of the ʻā, booby bird. See ʻā 4.",1
46,ʻaʻai-ʻanuhe-a-Kāne,ʻaʻaiʻanuheaKāne,"Legendary bird. Lit., caterpillar eater of Kāne. See ʻā 4.",1
47,ʻaʻaʻina,ʻaʻaʻina,Redup. of ʻaʻina.,1
48,ʻaʻaiole,ʻaʻaiole,"Inferior, weak, said of breadfruit or fruit with a weak stem that may fall before maturity; weak object. (Kep. 93.) Fig., of persons dying before their time.",1
49,ʻaʻaka,ʻaʻaka,"1. Surly, cranky, roiled, complaining, irritable, peevish, bad tempered, cantankerous, cross; severe, as labor. See ex., papaioa.

2. Dry, as coral of the reef at low tide; parched, wrinkled, dry and thirsty; peeling off, as the tough skin of such fish as the humuhumu after it has been in the fire; to crackle, burst, as a ripe melon.

3. Rocky undersea cavern, (PH 219, Malo 26.)

4. Wood of the naio, bastard sandalwood.",1
50,ʻaʻaki,ʻaʻaki,"Redup. of ʻaki 1; to nip repeatedly; to take a nip and hold on (cf. nahu, to bite with the whole mouth, and nau, to chew); a bite, nibble. Fig., thick, obscure, dark, penetrating; to feel pangs, as of love or childbirth.",1
51,ʻaʻaki makau,ʻaʻaki makau,"A hook nibbler, said of small fish that nibble away the bait; to nibble at a hook.",1
52,ʻaʻako,ʻaʻako,"Redup. of ʻako 1, 2; repeated plucking; insatiable lust; to get into action (rare).",1
53,ʻaʻa koko,ʻaʻa koko,"Vein, blood vessel.",1
54,ʻaʻa kolo,ʻaʻa kolo,"A root running horizontally that produces roots below and above; a rhizome, creeping root.",1
55,ʻaʻakū,ʻaʻakū,"Name of a combination of diseases: liver complication resulting in hardening of the veins, bloody dysentery accompanied by fever.",1
56,aʻa kūkūkū,aʻa kūkūkū,"Varicose veins. Lit., raised veins.",1
57,ʻaʻala,ʻaʻala,"1. Fragrant, sweet-smelling; fragrance, perfume, 
fume, aroma, sweet scent. Fig., of high rank, royal.

2. Winds.",1
58,ʻAʻala Honua,ʻAʻala Honua,"Name of a wind accompanied by rain associated with Hilo. Lit., earth fragrance.",1
59,ʻaʻalaihau,ʻaʻalaihau,A fish (no data; perhaps a local name for one of the chaetodons).,1
60,ʻaʻalaʻihi,ʻaʻalaʻihi,Young of the ʻalaʻihi fishes.,1
61,ʻaʻalaioa,ʻaʻalaioa,"Wild, demented person; uncivilized.",1
62,ʻaʻalakai,ʻaʻalakai,"1. Insipid, unsavory, tasteless.

2. Large, plump. Cf. ʻuʻulukai.",1
63,ʻAʻala Loloa,ʻAʻala Loloa,Wind name.,1
64,ʻaʻalaʻula,ʻaʻalaʻula,"Velvety-green, succulent-appearing seaweeds, one of several species of Codium. It yields a red liquid when placed in a container overnight with brine, after chopping or pounding. Both the liquid and the seaweed are well liked, being eaten plain or with other food. (KL. line 47.) ʻAʻalaʻula is the common name on Kauaʻi and Maui, wāwaeʻiole elsewhere.",1
65,aʻalele,aʻalele,"Pulse. Lit., leaping vein.",1
66,ʻaʻali,ʻaʻali,"Redup. of ʻali 1; scarred, marked, grooved; depression, groove; wattles of a fowl; slight depression under the gills of a fish.",1
67,ʻaʻaliʻi,ʻaʻaliʻi,"Native hardwood shrubs or trees (Dodonaea, all species), 30 cm to 10 m high, more or less sticky at branch tips; leaves narrow, 2 to 10 cm long; flowers small; fruit a yellow, red, or brown papery capsule about 1 cm long and with two to four wings. Fruit clusters are made into leis with their own leaves or ferns and worn in the hair. A boast of the people of Kaʻū, is: He ʻaʻaliʻi au, ʻaʻohe makani e hina ai, I am an ʻaʻaliʻi shrub, no wind can push me over. See similar ex., ʻulaʻa. (Neal 536–7, FS57.) Also ʻaʻaliʻi kū makani (ʻaʻaliʻi standing [in] wind), ʻaʻaliʻi kū ma kua (ʻaʻaliʻi standing in back).",1
68,ʻaʻaliʻi mahu,ʻaʻaliʻi mahu,"Same as pūkiawe, shrubs.",1
69,ʻaʻalina,ʻaʻalina,"1. Scarred. (PH 218.)

2. Large, fat, weak, as a fat person.",1
70,ʻaʻalo,ʻaʻalo,"Redup. of ʻalo 1, 2.",1
71,ʻaʻa lole,ʻaʻa lole,Clothlike sheath at base of coconut frond; European cloth.,1
72,aʻalolo,aʻalolo,"Nerve. Lit., brain vein.",1
73,ʻaʻalu,ʻaʻalu,"Ravine, small stream, valley, depression. Cf. ʻalu, depression.",1
74,ʻaʻama,ʻaʻama,"1. A large, black, edible crab (Grapsus grapsus tenuicrustatus) that runs over shore rocks.

2. To spread and relax, as the fingers. [The ʻaʻama crab was offered in sacrifices so that the gods would loosen (aʻama) and grant the request.)

3. Redup. of ʻama 1; to talk.",1
75,ʻaʻā maka,ʻaʻā maka,"To stare or glare with wide-open eyes, as in desire, fear, or intent to frighten; one who does so.",1
76,ʻaʻa manu,ʻaʻa manu,Coconut-leaf or pandanus-leaf bag used for carrying birds.,1
77,ʻaʻamo,ʻaʻamo,Same as ʻamo 2; contraction of anal muscles.,1
78,aʻa moku,aʻa moku,Broken blood vessel.,1
79,ʻaʻa moni,ʻaʻa moni,Purse. Biblical.,1
80,ʻaʻamoʻo,ʻaʻamoʻo,"1. Young clothlike sheath at base of coconut frond; gauze, as of a veil; diaphanous cloth. Lit., ʻaʻa portion

2. Snakeskin; slime, as on fresh water. Lit., lizard ʻaʻa.",1
81,ʻaʻana,ʻaʻana,"To use abusive language, revile, malign. Cf. ʻaʻa, daring.",1
82,ʻaʻanai,ʻaʻanai,Redup. of ʻanai.,1
83,ʻaʻanaliʻi,ʻaʻanaliʻi,"Var. of kakanaliʻi, stunted.",1
84,ʻaʻanapuʻu,ʻaʻanapuʻu,"Redup. of ʻanapuʻu, bumpy.",1
85,ʻaʻanema,ʻaʻanema,To criticize maliciously; malign.,1
86,ʻaʻa niu,ʻaʻa niu,Clothlike sheath at base of coconut frond.,1
87,ʻaʻano,ʻaʻano,"Overbearing, arrogant, bold, defiant, daring; bully. Cf. ʻaʻa.",1
88,ʻaʻao,ʻaʻao,"1. Greedy, voracious.

2. Uncultivated bananas. Rare.",1
89,ʻaʻao hoʻokahi,ʻaʻao hoʻokahi,Same as ʻao kahi.,1
90,ʻaʻapa,ʻaʻapa,Redup. of ʻapa. Rare. Cf. ʻapaʻapa.,1
91,aʻapau,aʻapau,Valve of a vein.,1
92,ʻaʻā pele,ʻaʻā pele,"ʻA ʻā lava or flow, volcanic.",1
93,ʻaʻapi,ʻaʻapi,"Warped, curved.",1
94,ʻaʻapo,ʻaʻapo,"To learn quickly, to catch the meaning quickly, apt. Cf. ʻapo, ʻapoʻapo.",1
95,aʻapu,aʻapu,Same as aʻapau.,1
96,ʻaʻapu,ʻaʻapu,"1. Coconut-shell cup; cuplike. Also ʻapu.

2. To warp, bend, ruffle.",1
97,ʻaʻa pua,ʻaʻa pua,"Arrow case, quiver.",1
98,aʻa pūhaka,aʻa pūhaka,"Girdle, belt. Lit., loin belt.",1
99,aʻa puʻupuʻu,aʻa puʻupuʻu,"1. Capsular ligament.

2. Knots in a fish net.",1
100,ʻaʻā puʻupuʻu,ʻaʻā puʻupuʻu,"Sharp or waterworn, coarse gravel or rock.",1
101,ʻaʻapuwai,ʻaʻapuwai,"Same as ʻapuwai, a variety of taro.",1
102,ʻaʻau,ʻaʻau,"1. To move here and there, wander, rove; to ripple, as the sea.

2. Redup. of ʻau, stalk.",1
103,ʻāʻaua,ʻāʻaua,"Coarse, as wrinkled or blotched skin; lean, as fish. Also ʻaua, māʻaua.",1
104,ʻaʻawa,ʻaʻawa,"1. Wrasse fishes, Hawaiian hogfish (Bodianus bilunulatus), considered ʻaumākua by some. The name ʻaʻawa may be qualified by the terms ʻeʻa, hai ʻeʻa, lelo, ule holu (pliable penis). Also poʻou.

2. Same as ʻaʻawa hua kukui.

3. Name given for an insect that destroys potatoes. (And.)",1
105,ʻaʻawa hua kukui,ʻaʻawa hua kukui,"A native tree (Pittosporum hosmeri and its varieties), about 6 m high, with leaves 10 to 25 cm by 1.5 to 6 cm, shiny and wrinkled above, brown-wooly beneath; small, clustered, cream-colored flowers; ovoid fruits about 5 cm long, each with two to four thick valves containing orange pulp and black oily seeds. Also hōʻawa, hāʻawa. (Neal 382–4.)",1
106,ʻaʻawe,ʻaʻawe,"Same as ʻawe, to carry.",1
107,aʻe,aʻe,"1. Several native trees, the soapberry (Sapindus saponaria f. inaequalis), and all species of Zanthoxylum (also known as Fagara, Zanthoxylum having yellowish wood formerly used for digging sticks and spears); seeds of all (largest in the soapberry) are black, round, and used for leis. Also mānele.

2. Northeast tradewind. Cf. A ʻe Loa, Moaʻe, naʻe.

3. Blight. (Malo 199.)

4. directional. Upward, sideways, nearby, contiguous, adjoining, next, approaching (often expresses space and time near the addressee, table 2, ).

5. Replacement of e in songs (commonly written a e, but a glottal stop is pronounced before ʻe).

6. Maui name for maua 2, trees.",1
108,ʻae,ʻae,"1. interj. Yes; to say yes, consent, conform, grant, agree, approve, let, confirm, admit, permit, allow, accept, yield; approval, admission, permission. Cf. aʻe nei.

2. Sap wrung from seaweed or leaves of plants such as taro; liquid remaining after dregs have settled, as of pia, arrowroot starch; saliva, drooling of the mouth.

3. Fine, mashed, comminuted, as dust or powder; silky soft, as down; smooth, as well-mixed poi or bread dough.

4. To rise, of the tide.

5. A native fern (Polypodium pellucidum) commonly seen at Kī-lau-ea Volcano. It has oblong fronds 15 to 40 cm long, once divided into about fifteen or more pairs of oblong segments, each of which bears many round fruit dots. (Neal 25.) Cf. ʻae lau nui.

6. Same as ʻaʻae.

7. Shoots from main root portion of the wauke plant. See ohi 3.

8. See ʻae kai, water's edge.",1
109,ʻaʻe,ʻaʻe,"To step over, get on top of, tread upon, trespass; to raise; to massage the back with the feet; to break a taboo or violate a law; counter sorcery; to inflict sorcery on a sorcerer; to get into by stepping up, as into a car; step. Fig., oppressed.",1
110,aea,aea,To rise up; to raise the head; to come up from under water.,1
111,ʻaea,ʻaea,"Cord, as used in joining two or more nets into a larger one. Rare.",1
112,ʻaeʻa,ʻaeʻa,"Wandering, shiftless, unstable; to wander, stray; tramp. Cf. hōkū ʻaeʻa.",1
113,ʻaʻea,ʻaʻea,Pas/imp. of ʻaʻe 1.,1
114,aeae,aeae,"1. A prolonged sound, wail; to prolong, stretch.

2. Andante.",1
115,aʻeaʻe,aʻeaʻe,"1. Mixing of a dark or brilliant color with a lighter one, as feathers in a lei; of dark hair of a young person with streaks of gray; to mix, as drinks.

2. A kind of banana with green and white striped leaves and fruits. (Neal 249) Also koaʻe and manini.

3. A fish (no data).",1
116,ʻaeʻae,ʻaeʻae,"1. Redup. of ʻae 3. See lole, mehelu.

2. A small native shrub (Lycium sandwicense) growing near salt marshes and among rocks near the sea. It has light-colored bark; succulent, narrow pale-green leaves about 2.6 cm long; small white to blue-tinted flowers; and small red berries. (Neal 740) Also ʻākulikuli ʻaeʻae, ʻākulikuli ʻōhelo, and ʻōhelo kai.

3. Water hyssop, a succulent herb (Bacopa monnieria).

4. Redup. of ʻae 4.",1
117,ʻaʻeʻaʻe,ʻaʻeʻaʻe,Redup. of ʻaʻe.,1
118,aeāea,aeāea,"A small green fish resembling the hīnālea, used as pani (food or drink taken to finish a medical treatment) for certain diseases of children of the ʻea type.",1
119,ʻAeʻae-a-hiwa,ʻAeʻaeahiwa,Name of a star (no data).,1
120,ʻaeʻa haukaʻe,ʻaeʻa haukaʻe,"1. See ʻaeʻa.

2. . A variety of wild sweet potato, good only as pig food.",1
121,ʻaʻei,ʻaʻei,"Fine net, as used for ʻōpelu and maomao fish; it was held open at the mouth by kuku, stretching poles.",1
122,āēīē,āēīē,Chant refrain.,1
123,āēī eia,āēī eia,Chant ending.,1
124,ʻaʻa kaʻa,ʻaʻa kaʻa,"A Step, as on a carriage; running board of an automobile.",1
125,ʻae kai,ʻae kai,Place where sea and land meet; water's edge.,1
126,ʻaekai mokiha,ʻaekai mokiha,Ancient type of tapa (no data).,1
127,ʻaekelona,ʻaekelona,"Falcon, vulture.",1
128,aeselona,aeselona,See ʻaekelona,1
129,ʻaeko,ʻaeko,"1. Eagle.

2. Alto Eng. See ʻaleko.",1
130,aeto,aeto,See ʻaeko,1
131,ʻaeko kula,ʻaeko kula,Golden eagle.,1
132,aʻela,aʻela,Directional part. aʻe + demon.,1
133,ʻae lau niu,ʻae lau niu,"Same as ʻae 5, with large leaves.",1
134,ʻaelike,ʻaelike,"Agreement, contract, truce, accord, deal; to come to an agreement; contracted.",1
135,āelo,āelo,"Rotten, of eggs that do not hatch due to infertility. Fig., spoiled, worthless.",1
136,Aʻe Loa,Aʻe Loa,"Name for the trade wind. See ex., kiʻekiʻe. Cf. A ʻe 2, Moaʻe, welo 1.",1
137,aʻe nei,aʻe nei,"Just now, lately; nearby, not far; ordinary, insignificant.",1
138,aeʻo,aeʻo,"1. Stilts.

2. See ""Hawaiian"":  stilt bird (Himantopus mexicanus knudseni), an endemic subspecies of stilt, formerly common on the main Hawaiian Islands, endangered. Also kukuluaeʻo.

3. Same as kīholo 1, wood fishhook.",1
139,ʻae o hope,ʻae o hope,Train of a dress (origin uncertain). (Kam. 76:99.),1
140,ʻaeʻoia,ʻaeʻoia,To be well supplied with comforts and necessities.,1
141,ʻae-o-kaha-loa,ʻaeokahaloa,"A kind of fine tapa, used in kuni and other ceremonies, as for divining with pebbles. Also kaha-loa, pālau-anahu.",1
142,ʻae one,ʻae one,Sandy beach.,1
143,āewa,āewa,"1. Thin, tall spindly; to weave to and fro, as seaweed; to sway, as a branch or sea eddy. Cf. ewa, māewa.

2. Possessing a family or lineage. Cf. ēwe 1.",1
144,aha,aha,"Why? What? For what reason? To do What? To ask what? (Aha frequently follows he and is often written heaha; cf. .) He aha? What is it? What? He aha kēlā? What is that? He aha kāna? What has he got there? What does he have to say about it? 
What business is it of his [sarcastic]? I ke aha? Why? What for? He aha ia mea? What of it [frequently spoken with an outward gesture of the right hand with palm upwards]? He … aha? What kind of? For what purpose? He hale aha kēlā? What kind of a house is that? What is it used for? He mea aha? What's it used for [annoyance]? Why? He aha ihola lā, no one knows why, for no apparent reason.",1
145,āhā,āhā,Aha (exclamation of surprise).,1
146,ʻaha,ʻaha,"1. Meeting, assembly, gathering, convention, court, party. Many types of ʻaha are listed below.

2. Sennit; cord braided of coconut husk, human hair, intestines of animals; string for a musical instrument; to stretch the ʻaha cord for the outline of a house so that the posts may be properly placed; measurement of an edge or border.

3. A prayer or service whose efficacy depended on recitation under taboo and without interruption. The priest was said to carry a cord (ʻaha). (Malo 180–1.) Ua kaʻi ka ʻaha, the prayer is rendered.

4. Millepede, so called because it coils itself up like a string.

5. Any of the needlefishes of the family Belonidae. The young are called ʻahaʻaha. Varieties are qualified by the terms holowī, mele, and uliuli.

6. Design supposed to resemble the continuing track of a duck, carved on tapa beaters. Also ʻahaana and kapuaʻi-koloa.",1
147,ʻahā,ʻahā,num. Four (usually in counting in series): four times.,1
148,ahaaha,ahaaha,"To pant, to breathe hard with heat, as a dog. Cf. hā, breath.",1
149,ʻahaʻaha,ʻahaʻaha,"1. Cordage.

2. To sit with back stiff and upright, arms akimbo, head up, as with haughty air of superiority; to sit cross-legged; to stand with hands on hips (considered rude and overbearing).

3. Young of the ʻaha, a fish.",1
150,ʻahaʻaina,ʻahaʻaina,"Feast, dinner party, banquet; to feast, Lit., meal gathering. Many types of ʻahaʻaina are listed below.",1
151,ʻAhaʻaina a ka Haku,ʻAhaʻaina a ka Haku,"Holy Communion, Lord's Supper; feast of the Lord.",1
152,ʻahaʻaina hepekoma (hobedoma),ʻahaʻaina hepekoma (hobedoma),Feast of weeks. (Puk. 34.22.),1
153,ʻahaʻaina hoʻolaʻa,ʻahaʻaina hoʻolaʻa,"Feast of consecration or dedication, as of a house, church, canoe, or fish net.",1
154,ʻahaʻaina hoʻolilo,ʻahaʻaina hoʻolilo,Feast of dedication. (Ioane. 10.22.),1
155,ʻahaʻaina hoʻomanaʻo,ʻahaʻaina hoʻomanaʻo,Commemorative or anniversary feast.,1
156,ʻahaʻaina kahe,ʻahaʻaina kahe,Feast given at the time of a boy's subincision. Called in Christian times ʻahaʻaina ʻoki poepoe.,1
157,ʻahaʻaina kahukahu,ʻahaʻaina kahukahu,"Feast given at the completion of a student's first work (as mat, quilt, tapa, net), or of a child's first fish catch; one purpose was to ask the gods to grant greater knowledge and skill to the craftsman. Lit., feast to care for. Cf. kahukahu.",1
158,ʻahaʻaina kala hala,ʻahaʻaina kala hala,"Feast given to ask pardon of the gods. Lit., feast to forgive sins.",1
159,ʻAhaʻaina Kauhalelewa,ʻAhaʻaina Kauhalelewa,Feast of Tabernacles. Biblical.,1
160,ʻahaʻaina komo,ʻahaʻaina komo,Initiation feast.,1
161,ʻahaʻaina laulima,ʻahaʻaina laulima,"Feast held after completion of a joint project or cooperative undertaking, especially harvest.",1
162,ʻahaʻaina lima luhi,ʻahaʻaina lima luhi,Similar to ʻahaʻaina maka luhi.,1
163,ʻahaʻaina maka luhi,ʻahaʻaina maka luhi,"Feast given to honor those who prepared the feast and served, the workers being served by those who had celebrated before; also a feast to celebrate completion of a particularly laborious project. Lit., feast for tired persons.",1
164,ʻahaʻaina make,ʻahaʻaina make,"Funeral feast, intended to comfort the mourners.",1
165,ʻahaʻaina male (mare),ʻahaʻaina male (mare),Wedding feast or reception.,1
166,ʻahaʻaina māwaewae,ʻahaʻaina māwaewae,"Feast given shortly after the birth of the first child, intended to clear the way (māwaewae) of misfortune for that child and for all others to follow.",1
167,ʻAhaʻaina Mōliaola,ʻAhaʻaina Mōliaola,Feast of the Passover. Biblical.,1
168,ʻAhaʻaina Pelena (Berena),ʻAhaʻaina Pelena (Berena),"Holy Communion. Lit., feast of bread.",1
169,ʻahaʻaina piha makahiki,ʻahaʻaina piha makahiki,"Feast on the first birthday of a child, or to celebrate any anniversary. Lit., feast for completion of the year.",1
170,ʻahaʻaina pī wai,ʻahaʻaina pī wai,"Feast given principally to break the monotony of country life; those instigating the feast would sprinkle (pī wai) their friends with a little water; those sprinkled brought food to the feast or, later, gifts of coins.",1
171,ʻahaʻaina puka,ʻahaʻaina puka,Graduation feast.,1
172,ʻahaʻaina ʻūniki,ʻahaʻaina ʻūniki,"Graduation feast, as for hula dancing or lua fighting.",1
173,ʻahaʻaina waimaka,ʻahaʻaina waimaka,"Feast of tears, held on the first anniversary of a death, a happy occasion, as the death by this time has been accepted by the family (Na_na_ 138).",1
174,ʻahaana,ʻahaana,"Design said to resemble duck tracks, carved on tapa beaters. Also ʻaha and kapuaʻi-koloa.",1
175,ʻaha ʻāpana,ʻaha ʻāpana,District court.,1
176,ʻaha ʻelele,ʻaha ʻelele,Convention of delegates; name for American presidential conventions.,1
177,ahāhā,ahāhā,Var. of ahahana.,1
178,ahahana,ahahana,"Syllables repeated in chants, usually at ends of verses, similar to ēhē; a taunting singsong teasing phrase, used especially by children, meaning “Oh! Oh! Aha! Shame on you! You are going to catch it!” As a verb, to tease. See ex., lei 1, ʻuhene. Also ahana and ahana kōkō lele, both meaningless.",1
179,ʻaha hāwele,ʻaha hāwele,Cord support for gourd water bottles.,1
180,ʻaha hele honua,ʻaha hele honua,"Ceremonial measuring of the dimensions of a mana house within a place of worship; a priest carried a line to the four corner posts of the mana, and the chief sacrificed a pig; name of the line. (Malo 166–7.)",1
181,ʻaha hīmeni,ʻaha hīmeni,"Song festival, concert.",1
182,ʻaha hōʻike makahiki,ʻaha hōʻike makahiki,"Annual meeting of Sunday Schools, as of Congregationalists.",1
183,ʻaha hoʻokō kauoha,ʻaha hoʻokō kauoha,Probate court.,1
184,ʻaha hoʻokolokolo,ʻaha hoʻokolokolo,General name for court assembly. Names of several types of courts are listed below.,1
185,ʻaha hoʻokolokolo ʻāpana,ʻaha hoʻokolokolo ʻāpana,District court.,1
186,ʻaha hoʻokolokolo hoʻomalu,ʻaha hoʻokolokolo hoʻomalu,Police court.,1
187,ʻaha hoʻokolokolo kaʻapuni,ʻaha hoʻokolokolo kaʻapuni,Circuit court.,1
188,ʻaha hoʻokolokolo kākau,ʻaha hoʻokolokolo kākau,"Old name for ʻaha kākau, court of records.",1
189,ʻaha hoʻokō,ʻaha hoʻokō,Executive council.,1
